od_key,src,dst,is_diag,class,flow_scale,sum_mse,rmse,mae,mean_true,max_true,mean_pred,rank,mse_share_pct,cum_mse_pct,rank_pct,tier
45_41-45_41,45_41,45_41,True,True Stable,Medium (50~200人),962.2642083812541,5.862301499476044,4.251318737609892,67.42595991369531,81.75118867563357,66.56703928571429,90,0.19466534079305942,80.00692309575702,5.806451612903226,🟡 Top 5%~10% 中級路線
37_37-37_37,37_37,37_37,True,Partial Dissipation,Small (10~50人),961.5553747194109,5.860141925144484,4.8494623671875825,17.6870017227127,29.554593121627484,18.697746428571428,91,0.19452194426521763,80.20144504002225,5.870967741935484,🟡 Top 5%~10% 中級路線
44_41-44_41,44_41,44_41,True,True Stable,Medium (50~200人),954.9389425416186,5.839945396459562,4.222644224014524,42.256251726404344,55.20923630918332,42.00286785714286,92,0.1931834449076547,80.3946284849299,5.935483870967742,🟡 Top 5%~10% 中級路線
49_44-49_44,49_44,49_44,True,Partial Dissipation,Small (10~50人),935.8316402806198,5.78122466104291,4.582649799070408,18.679662847937017,24.935302782215647,19.371117857142856,93,0.18931805172990115,80.5839465366598,6.0,🟡 Top 5%~10% 中級路線
33_46-33_46,33_46,33_46,True,Delayed Increase,Medium (50~200人),928.0040257915769,5.756995824310431,4.866942543343269,38.81523130376244,50.1312278679641,37.44743928571428,94,0.18773453108262533,80.77168106774243,6.064516129032258,🟡 Top 5%~10% 中級路線
53_36-53_36,53_36,53_36,True,Delayed Increase,Small (10~50人),925.5711144534769,5.749444427984439,4.502872627489382,30.41924012729507,43.15764467582019,30.980150000000005,95,0.18724235491039998,80.95892342265283,6.129032258064516,🟡 Top 5%~10% 中級路線
57_54-57_54,57_54,57_54,True,Partial Recovery,Small (10~50人),892.8259727037721,5.646825823617864,4.484947770356817,23.21943526561741,33.80427317833209,23.23614285714286,96,0.18061803684629327,81.13954145949911,6.193548387096774,🟡 Top 5%~10% 中級路線
60_53-60_53,60_53,60_53,True,Partial Recovery,Small (10~50人),884.938933874198,5.621829055038805,4.50576450094986,16.951688849355044,24.13575991851025,16.487385714285715,97,0.17902249469868506,81.3185639541978,6.258064516129032,🟡 Top 5%~10% 中級路線
57_44-57_44,57_44,57_44,True,Partial Recovery,Small (10~50人),871.3010233634736,5.578341482156917,4.314188069141432,26.106165029942563,41.340692545161495,24.02416428571429,98,0.17626355544462985,81.49482750964243,6.322580645161291,🟡 Top 5%~10% 中級路線
61_63-61_63,61_63,61_63,True,Persistent Decrease,Medium (50~200人),863.1933912908613,5.552327025963533,4.6099853895212,43.27280375741811,58.879168170381526,44.24696071428571,99,0.17462338744638867,81.66945089708881,6.387096774193549,🟡 Top 5%~10% 中級路線
42_40-42_40,42_40,42_40,True,Temporary Increase,Small (10~50人),861.8168611455231,5.547898125627409,4.395210685348951,29.327071113681637,41.880745353288276,28.447674999999997,100,0.1743449164115936,81.84379581350042,6.451612903225806,🟡 Top 5%~10% 中級路線
59_61-59_61,59_61,59_61,True,Persistent Decrease,Small (10~50人),853.4942693914563,5.5210450272164975,4.4411509673255365,29.46365324766279,46.08128270444249,29.435739285714284,101,0.17266126222807957,82.0164570757285,6.516129032258064,🟡 Top 5%~10% 中級路線
44_42-44_42,44_42,44_42,True,Partial Dissipation,Small (10~50人),794.8957388972959,5.328145412059086,4.208241867054558,16.262636436209768,26.307713437830046,16.46556428571429,102,0.16080682265809124,82.17726389838658,6.580645161290323,🟡 Top 5%~10% 中級路線
